lat,lng,min,day
42.1937,-78.3746,131.135,1
42.1937,-78.3746,131.906,1
42.1937,-78.3746,132.742,1
42.1937,-78.3746,133.576,1
42.1732,-78.3969,134.41,1
42.1732,-78.3969,135.301,1
42.1732,-78.3969,136.14,1
42.1649,-78.3992,136.981,1
42.182,-78.3934,137.748,1
42.1376,-78.4207,138.531,1
42.1376,-78.4207,139.287,1
42.1467,-78.4135,140.123,1
42.1682,-78.4286,140.959,1
42.1468,-78.4574,141.795,1
42.1468,-78.4574,142.643,1
42.1468,-78.4574,143.479,1
42.1468,-78.4574,144.315,1
42.1468,-78.4574,145.151,1
42.1451,-78.4538,146.018,1
42.1468,-78.4574,146.854,1
42.0963,-78.4989,147.609,1
42.0972,-78.5007,148.451,1
42.0972,-78.5007,149.217,1
42.0972,-78.5007,150.067,1
42.0959,-78.5,150.917,1
42.0959,-78.5,151.751,1
42.0959,-78.5,152.552,1
42.0959,-78.5,153.313,1
42.0963,-78.5011,154.069,1
42.0959,-78.5,154.917,1
42.0959,-78.5,155.766,1
42.0972,-78.5007,156.617,1
42.0972,-78.5007,157.447,1
42.0972,-78.5007,158.282,1
42.0935,-78.5515,159.149,1
42.0916,-78.5769,160,1
42.0916,-78.5769,160.759,1
42.0913,-78.6349,161.9,1
42.0916,-78.5769,162.749,1
42.0916,-78.5769,163.585,1
42.0916,-78.5769,164.438,1
42.0689,-78.5767,165.189,1
42.078,-78.5773,166.035,1
42.0826,-78.5775,166.884,1
42.0826,-78.5775,167.766,1
42.0763,-78.6359,168.616,1
42.1228,-78.6937,169.451,1
42.1228,-78.6937,170.301,1
42.1227,-78.6919,171.137,1
42.1227,-78.6919,171.983,1
42.1188,-78.701,173.042,1
42.1341,-78.7748,173.883,1
42.1341,-78.7748,174.732,1
42.1135,-78.7839,175.584,1
42.1028,-78.8138,176.358,1
42.1028,-78.8138,177.116,1
42.1019,-78.8245,177.955,1
42.1135,-78.7839,178.966,1
42.1135,-78.7839,179.722,1
42.1135,-78.7839,180.483,1
42.118,-78.8606,181.332,1
42.1188,-78.8768,182.226,1
